ID,Neonic,Conc,Group,Lin,HatchDate,IntoPints,PupDate,DeathPreRX,DeathPostRX,TimePostRX,EclosDate,OEScore,Sex,WeightEclos,Day1Amount,Day2Amount,Day3Amount,Day4Amount,Day5Amount,TotalAmount,AverageAmount,Day2Loss,Day3Loss,Day4Loss,Day5Loss,Day2PerLoss,Day3PerLoss,Day4PerLoss,Day5PerLoss,WeightPostCages,SurvivedRX,FeedingDayDeath,DeathResultofRX,DateFirstFeeding,DateIntoCages,Matings,NumberMated,DateInOv,DateOutOV,Eggs,EggScore,Contact,Feeding,Flying,Mating,Notes
67,CL,19,CL025,G,5/12/2019,5/15/2019,5/23/2019,,,,6/1/2019,0,M,0.6542,0.0694,,,,,0.0694,0.0694,,,,,,,,,,0,1,1,,,,,,,,,,,,,
68,CL,19,CL025,G,5/12/2019,5/15/2019,5/22/2019,,7/5/2019,31,5/31/2019,0,F,0.5617,0.1463,0.1298,0.1392,0.1734,0.1631,0.7518,0.15036,0.0355,0.0266,0.024,-0.0083,0.06763193,0.054352268,0.051858254,-0.018915223,0.6727,1,,,6/4/2019,6/14/2019,4,4,6/24/2019,6/27/2019,247,2,0,600,243,600,
69,CL,19,CL025,G,5/12/2019,5/15/2019,5/22/2019,,7/15/2019,41,5/31/2019,0,F,0.6276,0.1902,0.1189,0.2258,0.1767,0.2252,0.9368,0.18736,0.0594,0.0189,0.0154,0.008,0.101261507,0.035849772,0.030297069,0.016230473,0.8661,1,,,6/4/2019,6/14/2019,1,,,,,,4,0,27,0,
70,CL,19,CL025,G,5/12/2019,5/15/2019,5/22/2019,,7/12/2019,38,6/1/2019,0,F,0.6249,0.0423,0.1117,0.1548,0.1918,0.21,0.7106,0.14212,0.0988,0.0303,0.0407,-0.0133,0.163494953,0.059940653,0.085648148,-0.030609896,0.7501,1,,,6/4/2019,6/14/2019,2,,,,,,0,300,181,600,
71,CL,19,CL025,G,5/12/2019,5/15/2019,5/23/2019,,7/3/2019,28,6/2/2019,0,M,0.6625,0.1275,0.0902,0.1712,0.2197,0.2266,0.8352,0.16704,0.0489,0.0268,0.0352,-0.0298,0.078820116,0.046894138,0.064622728,-0.058488714,0.6047,1,,,6/5/2019,6/14/2019,0,,,,,,0,600,0,0,
72,CL,19,CL025,G,5/12/2019,5/15/2019,5/23/2019,,7/6/2019,31,6/1/2019,0,M,0.6579,0.0822,0.0489,0.0899,0.1707,0.1198,0.5115,0.1023,0.0399,0.0267,0.0279,-0.0245,0.070983811,0.051129835,0.056306761,-0.05239521,0.606,1,,,6/5/2019,6/14/2019,0,,,,,,5,540,15,0,
73,CL,36,CL050,A,5/12/2019,5/14/2019,5/22/2019,,6/29/2019,25,6/1/2019,0,M,0.66,0.1013,0.0854,0.186,0.1931,0.2169,0.7827,0.15654,0.0547,0.045,0.0545,-0.0273,0.089907955,0.081271447,0.107135836,-0.06010568,0.5511,1,,,6/4/2019,6/14/2019,3,,,,,,0,0,3,2,
74,CL,36,CL050,A,5/12/2019,5/14/2019,5/22/2019,,7/7/2019,32,6/2/2019,0,F,0.5815,0.118,0.156,0.2162,0.2685,0.2778,1.0365,0.2073,0.0351,0.0231,0.0029,-0.0297,0.064027727,0.045020464,0.005918367,-0.060973106,0.8083,1,,,6/5/2019,6/14/2019,3,3,6/21/2019,6/24/2019,110,3,0,0,108,1200,
75,CL,36,CL050,A,5/12/2019,5/14/2019,5/21/2019,,6/27/2019,23,5/30/2019,0,F,0.5215,0.1296,0.0538,0.1709,0.1977,0.1947,0.7467,0.14934,0.0208,0.0317,0.0052,-0.0172,0.043037451,0.068540541,0.012070566,-0.040413534,0.5846,1,,,6/4/2019,6/14/2019,0,,,,,,0,180,19,0,
76,CL,36,CL050,A,5/12/2019,5/14/2019,5/22/2019,,7/5/2019,30,6/1/2019,0,M,0.6879,0.0692,0.1617,0.1699,0.256,0.2373,0.8941,0.17882,0.0228,0.0271,0.0508,0.0025,0.03782349,0.046724138,0.091879182,0.004979088,0.7118,1,,,6/5/2019,6/14/2019,0,,,,,,10,1682,13,0,
77,CL,36,CL050,A,5/12/2019,5/14/2019,5/23/2019,5/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
78,CL,36,CL050,A,5/12/2019,5/15/2019,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
79,CL,36,CL050,A,5/12/2019,5/15/2019,5/22/2019,,6/28/2019,23,6/1/2019,0,M,0.7181,0.0529,0.1494,0.176,0.2394,0.1539,0.7716,0.15432,0.0416,0.0168,0.0293,-0.0222,0.071687058,0.031186189,0.056141023,-0.045066991,0.4936,1,,,6/5/2019,6/14/2019,6,,,,,,2,600,0,1200,
80,CL,36,CL050,B,5/12/2019,5/14/2019,5/23/2019,,7/3/2019,29,6/1/2019,0,M,0.7835,0.01,0.0963,0.2251,0.2502,0.267,0.8486,0.16972,0.2139,0.1092,0.0015,-0.0217,0.283912928,0.170758405,0.002828588,-0.041036309,0.6405,1,,,6/4/2019,6/14/2019,4,,,,,,0,0,15,1200,
81,CL,36,CL050,B,5/12/2019,5/14/2019,5/22/2019,,7/9/2019,34,6/1/2019,0,F,0.6065,0.1504,0.2207,0.228,0.2017,0.2215,1.0223,0.20446,0.0265,0.0104,0.0101,-0.0247,0.052175625,0.021603656,0.021443737,-0.053590801,0.5103,1,,,6/5/2019,6/14/2019,1,1,6/24/2019,6/27/2019,96,2,5,600,6,0,
